code,level,section,chapter
2D3Y1_163,1.0,2D3X1,math_12_algebra_C3
2D3Y3_74,1.0,2D3X3,math_12_algebra_C3
2D4Y3_24,1.0,2D4F2,math_12_algebra_C4
2D4Y3_26,1.0,2D4F2,math_12_algebra_C4
2D4Y3_27,1.0,2D4F2,math_12_algebra_C4
2D3Y2_48,1.0,2D3X2,math_12_algebra_C3
2D3Y2_74,1.0,2D3X2,math_12_algebra_C3
2D3Y2_76,1.0,2D3X2,math_12_algebra_C3
2D3Y2_83,1.0,2D3X2,math_12_algebra_C3
2D3Y2_91,1.0,2D3X2,math_12_algebra_C3
2D3Y2_171,1.0,2D3X2,math_12_algebra_C3
2D3Y2_175,1.0,2D3X2,math_12_algebra_C3
2D3Y3_52,1.0,2D3X3,math_12_algebra_C3
2D3Y3_66,1.0,2D3X3,math_12_algebra_C3
2D3Y3_80,1.0,2D3X3,math_12_algebra_C3
2D4Y3_16,1.0,2D4F1,math_12_algebra_C4
2D3Y2_39,1.0,2D3X2,math_12_algebra_C3
2D3Y2_54,1.0,2D3X2,math_12_algebra_C3
2D3Y2_47,1.0,2D3X1,math_12_algebra_C3
2D3Y2_56,1.0,2D3X2,math_12_algebra_C3
2D3Y3_60,1.0,2D3X3,math_12_algebra_C3
2D3Y3_26,1.0,2D3X3,math_12_algebra_C3
2D3Y2_105,1.0,2D3X2,math_12_algebra_C3
2D3Y2_60,1.0,2D3X2,math_12_algebra_C3
2D3Y3_71,1.0,2D3X3,math_12_algebra_C3
2D3Y3_96,1.0,2D3X4,math_12_algebra_C3
2D4Y2_49,1.0,2D4F2,math_12_algebra_C4
2D4Y2_61,1.0,2D4F2,math_12_algebra_C4
2D4Y2_65,1.0,2D4F2,math_12_algebra_C4
2D3Y2_34,1.0,2D3X2,math_12_algebra_C3
2D3Y2_46,1.0,2D3X2,math_12_algebra_C3
2D3Y2_49,1.0,2D3X2,math_12_algebra_C3
2D3Y2_80,1.0,2D3X2,math_12_algebra_C3
2D3Y2_72,1.0,2D3X2,math_12_algebra_C3
2D3Y2_82,1.0,2D3X2,math_12_algebra_C3
2D3Y3_12,1.0,2D3X3,math_12_algebra_C3
2D3Y3_28,1.0,2D3X3,math_12_algebra_C3
2D4Y2_57,1.0,2D4F2,math_12_algebra_C4
2D4Y3_10,1.0,2D4F1,math_12_algebra_C4
2D4Y3_17,1.0,2D4F1,math_12_algebra_C4
2D4Y3_28,1.0,2D4F2,math_12_algebra_C4
2D3Y2_35,1.0,2D3X2,math_12_algebra_C3
2D3Y2_42,1.0,2D3X2,math_12_algebra_C3
2D3Y2_43,1.0,2D3X2,math_12_algebra_C3
2D3Y3_3,1.0,2D3X3,math_12_algebra_C3
2D3Y2_100,1.0,2D3X2,math_12_algebra_C3
2D3Y2_111,1.0,2D3X2,math_12_algebra_C3
2D3Y2_179,1.0,2D3X2,math_12_algebra_C3
2D3Y3_98,1.0,2D3X4,math_12_algebra_C3
2D4B1_68,1.0,2D4F1,math_12_algebra_C4
2D4Y2_48,1.0,2D4F2,math_12_algebra_C4
2D4Y2_64,1.0,2D4F2,math_12_algebra_C4
2D4Y3_1,1.0,2D4F2,math_12_algebra_C4
2D4Y3_2,1.0,2D4F1,math_12_algebra_C4
